genre,definition
pop,Pop music genre popular music originated modern form United States United The terms popular music pop music describes music popular includes disparate During pop music encompassed rock roll styles Rock pop music remained roughly synonymous late pop associated music music appears record charts considered pop genre distinguished chart Identifying factors usually include repeated choruses short songs written basic format rhythms tempos easily danced Much pop music borrows elements styles urban contemporary
dance pop,popular music subgenre originated late early It generally uptempo music intended nightclubs intention danceable suitable contemporary hit Developing combination dance pop influences generally characterised strong beats uncomplicated song structures generally similar pop music dance emphasis melody catchy The tends despite notable highly having borrowed influences varied artists Such include contemporary new jack funk pop popular mainstream style music numerous artists groups perform Notable artists include Britney Kylie Christina Spice Paula Backstreet Michael Jennifer Janet Katy Lady Years Justin Ava
rap,Hip hop music known rap genre popular music originated New York City It consists stylized rhythmic music built drum commonly accompanies rhythmic rhyming speech It developed hip hop subculture defined key stylistic break graffiti Other elements include sampling beats bass lines records synthesized beats rhythmic While refer solely properly denotes practice entire The term hip hop music synonymously term rap rapping required component hip hop genre incorporate elements hip hop including instrumental hop musical genre culture formed block parties increasingly popular New York particularly African American youth residing At block DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies alternating extending Hip early evolution occurred sampling technology drum machines widely available Turntablist techniques scratching beatmatching developed Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized hop music officially recorded play radio television largely poverty birth lack acceptance outside ghetto Old school hip hop mainstream wave marked disco influence The marked diversification hip hop genre developed complex styles spread New school hip hop second marked electro led golden age hip innovative period developed hip album The gangsta rap focused violent lifestyles impoverished conditions African American gained popularity West Coast hip hop dominated East Coast hip hop dominated jazz alternative hip hardcore Hip hop continued diversify time regional styles Southern rap Atlanta hip Hip hop genre music genre popularity hip hop music continued late hip hop influences increasingly finding way genres popular neo nu The United States saw success regional styles Southern genre emphasized beats music alternative hip hop began secure place crossover success During late early rappers able build following online methods music social media mainstream hip hop took sensitive direction following commercial decline gangsta The trap mumble rap subgenres popular form hip hop early In rock music usurped hip hop popular genre United
rock,Rock music broad genre popular music originated United States late early developing range different styles particularly United States United It roots rock style drew directly blues rhythm blues genres music country Rock drew strongly number genres electric blues incorporated influences musical For rock centered electric usually rock group electric bass rock music time signature genre extremely Like pop lyrics stress romantic love address wide variety themes frequently social musicians began advance album ahead single dominant form recorded music expression Beatles forefront Their contributions lent genre cultural legitimacy mainstream initiated album era music industry By late number distinct rock music subgenres including hybrids like blues folk country southern raga jazz contributed development psychedelic influenced countercultural psychedelic hippie New genres emerged included progressive extended artistic glam highlighted showmanship visual diverse enduring subgenre heavy emphasized In second half punk rock reacted producing energetic social political Punk influence new eventually alternative alternative rock began dominate rock music break mainstream form indie Further fusion subgenres including pop electronic rap rap conscious attempts revisit including garage revivals The saw slow decline rock mainstream popularity cultural hip hop surpassing popular genre United embodied served vehicle cultural social leading major subcultures including mods rockers United Kingdom hippie counterculture spread San Francisco US punk culture spawned emo Inheriting folk tradition protest rock music associated political activism changes social attitudes drug seen expression youth revolt adult consumerism At commercially highly leading charges selling
hip hop,Hip hop music known rap genre popular music originated New York City It consists stylized rhythmic music built drum commonly accompanies rhythmic rhyming speech It developed hip hop subculture defined key stylistic break graffiti Other elements include sampling beats bass lines records synthesized beats rhythmic While refer solely properly denotes practice entire The term hip hop music synonymously term rap rapping required component hip hop genre incorporate elements hip hop including instrumental hop musical genre culture formed block parties increasingly popular New York particularly African American youth residing At block DJs played percussive breaks popular songs turntables DJ mixer able play breaks copies alternating extending Hip early evolution occurred sampling technology drum machines widely available Turntablist techniques scratching beatmatching developed Rapping developed vocal style artist speaks chants rhythmically instrumental synthesized hop music officially recorded play radio television largely poverty birth lack acceptance outside ghetto Old school hip hop mainstream wave marked disco influence The marked diversification hip hop genre developed complex styles spread New school hip hop second marked electro led golden age hip innovative period developed hip album The gangsta rap focused violent lifestyles impoverished conditions African American gained popularity West Coast hip hop dominated East Coast hip hop dominated jazz alternative hip hardcore Hip hop continued diversify time regional styles Southern rap Atlanta hip Hip hop genre music genre popularity hip hop music continued late hip hop influences increasingly finding way genres popular neo nu The United States saw success regional styles Southern genre emphasized beats music alternative hip hop began secure place crossover success During late early rappers able build following online methods music social media mainstream hip hop took sensitive direction following commercial decline gangsta The trap mumble rap subgenres popular form hip hop early In rock music usurped hip hop popular genre United
trap latino,
pop rap,Pop rap known pop hip melodic melodic genre music fusing lyricism hip hop music pop preference melodious vocals catchy This genre gained mainstream popularity influences roots pop rap trace hip hop artists LL Cool Beastie The lyrics choruses similar heard pop
reggaeton,Reggaeton known reggaetón reguetón music style Puerto Rico influenced Reggae en Español Hip Bomba It evolved dancehall influenced American hip Latin Caribbean Vocals include rapping typically regarded popular music genres including Puerto Dominican Over genre seen increased popularity Latin acceptance mainstream Western
edm,EDM refer
modern rock,Modern rock umbrella term describe rock music found college rock radio Some radio stations use term distinguish classic based rock
