genre,definition
american melodeath,
atl trap,
austin singer-songwriter,
boston folk,
brockton hip hop,
bronx drill,Brooklyn drill regional subgenre drill centered New began derivative drill music scene Chicago later derivative UK drill percussion sliding notes producers UK drill Brooklyn drill emerged single rapper Bobby Other early pioneers rappers Rowdy Bam Money Dah Dah Curly It popular mainstream late Pop With success mixtapes Meet Woo Meet Woo Pop Smoke introduced Brooklyn drill mainstream music Other notable Brooklyn drill artists include Fivio Sheff Sleepy Dusty
chicago blues,Chicago blues form blues music developed It based earlier blues Delta performed urban It developed alongside Great Migration half twentieth Key features distinguish Chicago blues earlier Delta prominent use electrified especially electric especially use electronic effects distortion colleague Delta blues musicians Son House Robert migrated Chicago joining established Big Bill developed distinctive style blues Joined artists Willie John Lee Chicago Blues reached international audience late early directly influencing development early rock roll musicians Chuck Berry Bo reaching Atlantic influence British blues early hard rock acts Eric Rolling Led Prominent record labels Records Chess Records helped promote spread The Chicago Blues Festival held annually anniversary Muddy Waters means preserving promoting Chicago
chicago bop,
chicago soul,Chicago soul style soul music arose Along home gritty performers Memphis Chicago Chicago soul style helped spur soul revolution early sound Chicago like southern soul rich influence black gospel exhibited unmistakable gospel somewhat lighter delicate Chicago vocal groups tended feature sweet solo artists exhibited highly melodic somewhat pop approach usually featured highly orchestrated horns notable arrangers Johnny Pate largely worked Riley Hampton specialized This kind soul music called distinguish harsh
classic country pop,
cleveland metal,
crunk,Crunk subgenre hip hop music emerged early gained mainstream success mid Crunk Southern hip dance club oriented An archetypal crunk track frequently uses main groove consisting layered keyboard drum machine clapping heavy shouting response The term blanket term denote style Southern hip effect breakthrough The word derives slang verb phrase It refers excited high
dark plugg,
denver metal,
east coast hip hop,East Coast hip hop regional subgenre hip hop music originated New York City Hip hop recognized originated evolved New York contrast East Coast hip hop music prioritized complex lyrics attentive listening beats The term Coast hip specifically denotes hip hop originating East Coast Northeastern United Southeastern states Georgia instead fall umbrella Southern hip hop Coast hip A notable exception Hampton Roads music centered Virginia produced artists diverse Missy Pharrell Timbaland closely associated New York music scene evolution East Coast hip particularly late
futuristic swag,
hampton roads indie,
houston indie,
iowa hip hop,
jamgrass,
memphis blues,The Memphis blues style blues music created musicians Memphis Frank Sleepy John Furry Lewis Memphis The style popular vaudeville medicine shows associated Beale main entertainment area published song Memphis In phrase describe depressed
minneapolis metal,
montana indie,
montana roots,
navajo,Navajo music music hailing Four Corners region Southwestern United States territory Navajo While traditionally takes shape ceremonial chants echoes themes found Diné contemporary Navajo music includes wide range ranging country music rock performed English
new york death metal,
ny roots,
oklahoma country,
philly drill,
sacramento hip hop,
sacred harp,Sacred Harp singing tradition sacred choral music originated New England later perpetuated carried American The derived The Sacred ubiquitous historically important tunebook printed shape The work published reappeared multiple editions Sacred Harp music represents branch older tradition American music developed period roots New related development influence services This music included profoundly associated books shape note style notation popular America early Harp music performed cappella originated Protestant
santa fe indie,
south dakota indie,
texas pop punk,
traditional country,Country called country genre popular music originated church music Southern gospel American folk music forms including cowboy Western music styles New Red Texas Its popularized roots originate Southern Southwestern United States early music consists ballads dance tunes commonly known Tonk generally simple folk harmonies accompanied string instruments electric acoustic steel guitars pedal steels fiddles Blues modes extensively recorded term country music gained popularity preference hillbilly came encompass Western evolved parallel hillbilly music similar In United country music listened rush hour radio genre evening second popular morning term country music today describe styles The origins country music found folk music working class Americans American It historical roots indigenous music North Celtic early music British Irish traditional singing French folk traditional folk music
upstate ny rap,
utah metal,
vermont indie,
virginia hip hop,
west virginia metal,
western americana,
hardcore hip hop,Hardcore hip hop hardcore genre hip hop music developed East Coast hip hop scene Pioneered artists Schoolly Boogie Down Productions Public generally characterized aggression
atl hip hop,
southern gospel,Southern gospel music genre Christian Its comes origins southeastern United Its lyrics written express personal communal faith biblical teachings Christian terms varying music Christian alternative mainstream secular Sometimes known traditional men set southern gospel evolved years popular form music United States especially baby boomers living Southern United Like forms definition southern gospel varies according cultural social It composed performed ranging aesthetic religious ceremonial entertainment product
bay area indie,
texas country,Texas country music popularly known Texas country Texas rapidly growing subgenre country music Texas country unique style Western music associated distinct neighboring including Red Dirt New Mexico music New Tejano influenced popular parts Western United Texas Country known fusing neotraditional country views outlaw Texas Country blends working theme witty combine stripped music location birth location upbringing calculate definition Texas Country long origin corporate Nashville scene genre tends The genre differentiates Nashville country rejection pop influences found Nashville Country necessarily mean For Chris Knight considered Texas Country despite Kentucky Adam Alabama success Even international Canada native Corb successful Texas Country
charlotte nc indie,
gangster rap,Gangsta rap gangster initially called reality emerged late controversial subgenre lyrics assert culture values typical American street gangs street Many gangsta rappers flaunt associations real street like Crips Gangsta pioneers Schoolly D Philadelphia Los Angeles especially In record producer rapper Snoop Dogg gangsta rap took rap lead popular rap recurrently accused promoting disorderly conduct broad especially drug Gangsta defenders variously characterized artistic depictions literal endorsements real life American suggested lyrics voice rage social oppression police accused critics hypocrisy racial gangsta rap assailed black public including Spike pastor Calvin Butts activist Delores
nashville hip hop,
new jersey underground rap,
philly rap,
pluggnb,Plugg spelled subgenre trap stems production style later polished expanded beatmakers Beatpluggz mainly StoopidXool PoloBoyShawty online distribution platform mainline defined bombastic production rattling drum plugg said described having overall lush jazzy harmonies relaxed drum programming thick Instead mainline plugg drumming mainly employs beat crash cymbals punctuated accent snares As described plugg best intended heard way trance isolated plugg ranges instrumental beats songs rapping mellow Rapping range aggressive relaxed
southern hip hop,Southern hip known Southern South Coast hip dirty blanket term regional genre American hip hop music emerged Southern United especially New cities constitute rap music reaction flow hip hop culture New York City Los Angeles area considered major American hip hop alongside East Coast hip hop West Coast hip Many early Southern rap artists released music independently mixtapes encountering difficulty securing contracts By early Southern artists attained decade went mainstream underground varieties Southern hip hop popular influential entire
west coast rap,West Coast hip hop regional genre hip hop music encompasses artists music originated West Coast region United West Coast hip hop began dominate radio play sales standpoint early birth emergence record labels Suge Knight Death Row Ice Lench Mob Records continued success Ruthless
gospel,Gospel music traditional genre Christian cornerstone Christian The definition gospel music varies according culture social Gospel music composed performed including aesthetic religious ceremonial entertainment product Gospel music characterized dominant vocals strong use harmony Christian Gospel music traced early sacred songs repeated response Most churches relied rhythmic Most singing The published use term probably appeared original gospel songs written composed authors George Philip Charles William Howard Fanny Gospel music publishing houses The advent radio greatly increased audience gospel Following World War gospel music moved major gospel music concerts Southern gospel music largely responsible continued presence contemporary Christian soul music far popular music The styles emerged music American folk music traditions evolved ways continuing form basis Black church worship It come churches cultural traditions gospel choir phenomenon spearheaded Thomas form musical devotion Southern Progressive Southern gospel grown Southern gospel past couple Christian country referred country gospel subgenre gospel music country It peaked popularity Bluegrass gospel music rooted American mountain Celtic gospel music infuses gospel music Celtic popular countries British black gospel refers Gospel music African diaspora produced
kansas city hip hop,
lexington ky indie,
louisville indie,
nyc pop,
portland hip hop,
vegas indie,
soul jazz,Soul jazz funky jazz subgenre jazz incorporates strong influences hard gospel rhythm Soul jazz characterized organ trios featuring Hammond organ small combos including tenor Its origins early heyday popular audiences preceding rise jazz fusion late Prominent names fusion ranged bop pianists including Bobby Timmons Junior Mance wide range guitarists including Jack Eddie Grant
chicago rap,
hyphy,The term hyphy Oakland slang meaning More adjective describing hip hop music culture associated The term coined Oakland rapper Keak da
lawrence ks indie,
louisiana blues,Louisiana blues genre blues music developed period World War II state It generally divided major New Orleans blues based musical traditions city slower tempo swamp blues incorporating influences zydeco Cajun music Baton artists New Orleans tradition include Professor Longhair Guitar Slim swamp blues Slim Harpo Both genres peaked popularity interest declined later occasional revivals
memphis indie,
new jersey rap,
tennessee hip hop,
texas blues,Texas blues blues music As regional original form characterized jazz swing Later examples closer blues rock Southern
vintage country folk,
appalachian folk,Appalachian music music region Appalachia Eastern United Traditional Appalachian music derived including hymns fiddle music British Isles African music blues early African lesser extent music Continental recorded Appalachian musicians key influence early development country rock important American folk music revival Instruments typically perform Appalachian music include American fretted later recorded Appalachian musicians include John Grayson Henry Bascom Lamar Carter Clarence Dock initially recorded Several Appalachian musicians obtained renown folk revival including Jean Roscoe Ola Belle Lily May Hedy West Doc Country bluegrass artists Loretta Roy Dolly Earl Chet The Stanley Brothers Don Reno heavily influenced traditional Appalachian
